20220325,,2223 0.21,1387 2.23,139 0.92,74 0.84,52 0.85,42 1.00,48 1.54,18 0.77,66 4.41,46 6.38,36 9.60,17 8.07,4 2.71,8 6.67,14 53.72
20220318,,2237 0.22,1484 2.40,149 1.00,80 0.91,50 0.82,47 1.12,41 1.33,18 0.77,66 4.38,47 6.53,33 8.74,17 8.00,5 3.30,8 6.71,14 53.70
20220311,,2179 0.21,1412 2.24,145 0.97,72 0.81,50 0.82,45 1.07,44 1.46,20 0.86,65 4.46,45 6.21,35 9.22,14 6.54,8 5.07,8 6.72,13 53.26
20220304,,2147 0.21,1384 2.21,142 0.96,78 0.90,53 0.86,48 1.11,41 1.37,20 0.85,68 4.52,49 6.80,34 8.94,15 6.92,8 5.31,8 6.61,12 52.34
20220225,,2189 0.21,1413 2.28,147 0.99,77 0.89,57 0.94,46 1.08,41 1.36,22 0.94,69 4.51,52 7.29,32 8.57,14 6.62,8 5.31,8 6.63,12 52.29
20220218,,2161 0.21,1446 2.30,149 1.00,78 0.90,55 0.90,48 1.12,42 1.40,22 0.95,68 4.52,51 7.12,33 8.75,13 6.09,9 5.86,8 6.63,12 52.18
20220211,,2104 0.20,1385 2.20,151 1.02,75 0.86,55 0.90,48 1.15,39 1.28,23 0.98,73 4.80,53 7.43,31 8.02,14 6.50,8 5.20,7 6.01,13 53.38
20220128,,2037 0.20,1334 2.11,153 1.03,73 0.84,50 0.82,48 1.15,36 1.20,22 0.96,74 4.92,51 7.17,32 8.31,13 6.00,8 5.14,6 5.14,14 54.96
20220122,,2090 0.20,1257 1.99,144 0.97,77 0.89,49 0.80,49 1.14,34 1.13,23 1.00,68 4.45,51 7.07,36 8.97,14 6.55,6 4.04,8 6.76,13 53.97, -1,000
20220114,,2114 0.21,1410 2.19,157 1.05,81 0.93,47 0.77,44 1.02,38 1.27,22 0.95,68 4.49,49 6.75,36 8.89,18 8.29,5 3.32,7 6.07,13 53.73
20220107,,2077 0.21,1362 2.14,150 1.00,75 0.86,46 0.75,47 1.10,35 1.17,22 0.95,70 4.61,51 7.03,36 9.09,17 7.87,6 3.88,7 5.97,13 53.30
20211230,,2140 0.21,1323 2.06,154 1.03,78 0.91,46 0.76,46 1.08,39 1.31,20 0.87,67 4.45,49 6.67,38 9.87,16 7.37,6 4.02,7 5.90,13 53.43, -12,000
20211224,,2154 0.21,1292 2.00,151 1.01,75 0.87,48 0.79,43 1.01,38 1.27,19 0.83,69 4.56,47 6.50,38 9.77,15 7.06,7 4.56,7 5.91,13 53.56
20211217,,2162 0.22,1424 2.21,150 1.00,80 0.94,43 0.71,50 1.16,38 1.27,16 0.70,72 4.79,46 6.29,36 9.27,13 5.97,9 5.78,7 5.91,13 53.72
20211210,,2146 0.22,1431 2.22,149 0.99,79 0.92,40 0.65,56 1.30,37 1.24,18 0.78,72 4.81,45 6.24,37 9.58,12 5.66,10 6.53,6 5.15,13 53.62
20211203,,2198 0.22,1502 2.31,159 1.05,76 0.89,45 0.75,52 1.21,39 1.31,16 0.68,76 5.03,44 6.09,37 9.57,12 5.63,9 5.91,7 5.93,13 53.33
20211126,,2206 0.22,1401 2.18,140 0.93,75 0.87,44 0.73,54 1.25,36 1.19,16 0.69,80 5.32,43 6.06,36 9.14,12 5.52,9 5.79,7 5.93,13 54.09
20211119,,2253 0.23,1402 2.20,143 0.94,70 0.81,45 0.75,53 1.24,37 1.23,20 0.86,79 5.19,42 5.94,37 9.42,11 5.34,8 5.08,5 4.20,15 56.50
